State,Jan23,Feb23,Mar23,Apr23,May23,Jun23,Jul23,Aug23,Sep23,Nov23,Dec23
Andhra Pradesh,35.28251977450509,35.37869706769217,35.402827426473806,35.41448564436481,35.592757724074644,35.80268212209938,35.97829392999169,36.09407201852904,36.2252818686361,36.449366341825815,36.55166608399249
Bihar,23.852432934131738,23.90168502994012,24.145950898203594,24.142943712574848,24.20513353293413,24.30833173652695,24.375452095808384,24.328082035928144,24.34072874251497,24.56620718562874,24.668697005988026
Gujarat,15.60260374622026,15.624952453924775,15.547487241233052,15.543813537291173,15.560982117202785,15.612746452857554,15.687967764445112,15.75891745454048,15.837640072789963,15.879304117011234,16.003148302707732
Karnataka,46.0263146256247,46.02947827753454,46.02183597953798,46.058766382144384,46.23892500700249,46.552020403048665,46.988725251721135,46.947752568808696,46.76099538572671,46.939137293057954,47.10511108162694
Madhya Pradesh,13.007858928312446,13.084263374766458,13.158949640410519,13.109755410904562,13.116896866495475,13.20876579335762,13.29645529232108,13.373891159132208,13.425513364102477,13.482730320687272,13.563112005937706
Maharashtra,24.011855449110197,24.09852907932994,24.16301651765183,24.15276996110284,24.30730237670224,24.27799621161926,24.373066639643923,24.415110650338693,24.409684535455657,24.50225042287995,24.57596249035366
Rajasthan,27.237569482020756,27.409217128240442,27.591782674996313,27.69011633626838,27.968757686064244,27.936984111367995,28.06648875989965,28.273953465492646,28.249959417580794,28.246073343499432,28.382069949333466
Tamil Nadu,35.1982594091152,35.31197037941828,35.36727485558694,35.42375244929639,35.500857571824824,35.68188920273812,35.94531770873095,36.2454945670153,36.538058884902156,36.84660406646818,37.02383896989592
Uttar Pradesh,22.181303191489363,22.236380157962603,22.20494640554481,22.101875,22.145832930367504,22.22694954867827,22.170855093488072,22.15580673758865,22.23279295615732,22.300390070921985,22.45092440361057
West Bengal,22.518865784878468,22.587745619493006,22.63603054814042,22.68081307829717,22.748738534411817,22.864792364972,22.918362001485256,22.992906890391986,23.2370902996608,23.424445537201695,23.559392248559902
