State,Jan21,Feb21,Mar21,Apr21,May21,Jun21,Jul21,Aug21,Sep21,Oct21,Nov21,Dec21,Jan22,Feb22,Mar22,Apr22,May22,Jun22,Jul22,Aug22,Sep22,Oct22,Nov22,Dec22,Jan23,Feb23,Mar23,Apr23,May23,Jun23,Jul23,Aug23,Sep23,Nov23,Dec23
Andhra Pradesh,30958572,31031131,31320614,31318378,30910121,31207814,31194757,31186566,31193079,31114350,31298106,31441078,31357641,31321286,31366746,31354740,31426052,31538725,31662370,31693515,31774350,31881272,31986320,32163984,32294796,32382829,32404916,32415587,32578763,32770911,32931652,33037626,33157725,33362834,33456471
Assam,9035945,9100301,9238358,9379532,9255195,9396665,9536464,9563472,9666469,9748438,9813893,9863684,9917783,9984555,10043796,10085858,10166286,10201674,10267397,10350589,10438124,10502842,10574415,10648415,10745881,10876301,11006187,11096541,11140124,11150514,11189259,11397614,11475925,11548817,11635040
Bihar,35720188,35605997,35992515,36139628,35665088,36148989,36548063,36455259,36289924,36102624,36212977,36617800,36786692,37096283,37414631,37549526,37861463,38301968,38816333,39154621,39367223,39544824,39646114,39726581,39833563,39915814,40323738,40318716,40422573,40594914,40707005,40627897,40649017,41025566,41196724
Delhi,16121509,16185271,16429584,16341350,16130132,16216300,15845703,15797812,15829346,15814431,15876083,16083381,16119708,16189175,16235553,16239458,16251949,16258221,16304284,16358878,16438020,16546528,16689920,16826426,16959252,17064890,17103766,17107892,17156018,17231813,17304431,17386804,17633421,17872157,17944995
Gujarat,11647275,11986907,12097288,12169824,12011680,12109206,12079135,11967790,11842855,11743743,11700880,11706924,11626613,11771457,11978342,11988296,11892823,11622248,11503148,11371451,11252833,11240322,11286317,11380155,11403475,11419809,11363192,11360507,11373055,11410888,11465865,11517720,11575256,11605707,11696221
Haryana,5170560,5386412,5479581,5578327,5506028,5563549,5620344,5652243,5685403,5682781,5702016,5758268,5803574,5860741,5921655,5954121,5982851,6202510,6240683,6281489,6314298,6385784,6459040,6489254,6509330,6515872,6553650,6547075,6551136,6563357,6642572,6665375,6710871,6812086,6913441
Himachal Pradesh,3383829,3341977,3363193,3300897,3258052,3289031,3296585,3314396,3327816,3323832,3328678,3346476,3323549,3312278,3317454,3314762,3315326,3323745,3320505,3351375,3368664,3397367,3408687,3414229,3409078,3405349,3424408,3415983,3423864,3439537,3478313,3555400,3564011,3558426,3565663
J & K,5643053,5594198,5623564,5531037,5459282,5503692,5472230,5487137,5513460,5506324,5513815,5585762,5570413,5588163,5632326,5686516,5751254,5792073,5835259,5848363,5870318,5840123,5819809,5795811,5765145,5750880,5788180,5826409,5866248,5917428,5958993,5904045,5933139,5901934,5889912
Karnataka,30005365,30393391,30624712,30372948,29978857,30184161,30034027,30109015,30292369,30293784,30400959,30515006,30539030,30621855,30664024,30679364,30667166,30777403,30818598,30882862,30920839,30969953,31070659,31169983,31221030,31223176,31217992,31243043,31365250,31577632,31873862,31846069,31719386,31840225,31952810
Kerala,6601014,6725494,6793854,6813547,6724552,6838692,7116902,7253904,7379352,7461603,7563895,7655543,7683913,7706947,7734058,7746354,7773984,7798383,7827365,7808380,7821693,7842755,7902200,7942467,7967440,7986929,7991307,8003269,8045718,8092740,8157958,8315122,8353158,8412596,8472706
