State,Jan21,Feb21,Mar21,Apr21,May21,Jun21,Jul21,Aug21,Sep21,Oct21,Nov21,Dec21,Jan22,Feb22,Mar22,Apr22,May22,Jun22,Jul22,Aug22,Sep22,Oct22,Nov22,Dec22,Jan23,Feb23,Mar23,Apr23,May23,Jun23,Jul23,Aug23,Sep23,Nov23,Dec23
Andhra Pradesh,16008882,15818541.0,15752480.0,15587525.0,15315444.0,15084844.0,14956508.0,14897868.0,14768586.0,14589459.0,14417213.0,14241991.0,9290633.0,9307279.0,9299811.0,9235042.0,9156619.0,9012485.0,8975581,8976822,8797156,8781567,8294784,8156707,8157253,8083648,8010334,7985490,7934099,7557631,6928520,6706025,6631388,6525300,6526093
Assam,3288855,3235350.0,3203509.0,3165463.0,3129613.0,3060431.0,2984940.0,2942512.0,2896364.0,2844345.0,2808749.0,2751705.0,3170289.0,3188296.0,3210135.0,3221963.0,3235613.0,3250243.0,3267601,3289812,3313824,3336449,3297907,3308505,3318740,3325153,3184184,3189306,3191181,3193282,3195263,3195737,3192009,3136425,3135849
Bihar,12241896,12122243.0,12113773.0,12007372.0,11662759.0,11303641.0,11140519.0,11076397.0,10973747.0,10877621.0,10747890.0,10577260.0,5412137.0,5291655.0,5438780.0,5492014.0,5537429.0,5587868.0,5627609,5646915,5669094,5690177,5730724,5705175,5748958,5769604,5775195,5808203,5833901,5862287,5797509,5387664,5397055,5191375,5212767
Delhi,15528840,15856412.0,16219011.0,16132680.0,15978312.0,15925885.0,15974356.0,15803961.0,15812011.0,15774846.0,15823733.0,15994885.0,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,25004003,25082556.0,25254129.0,25172519.0,25022251.0,24784722.0,24630448.0,24454206.0,24305580.0,24206672.0,24075093.0,23790340.0,5589794.0,5596715.0,5584147.0,5578829.0,5552542.0,5510968.0,5429139,5364415,5293414,5233513,5186621,5139655,5092727,5058071,5033390,5064564,5028454,5048755,4975672,4909331,4416610,4406518,4408539
Haryana,8058043,8118660.0,8256208.0,8241187.0,8226254.0,8085635.0,8085459.0,8052386.0,8027162.0,7962609.0,7896091.0,7912039.0,4927210.0,4946357.0,4935801.0,4895992.0,4730055.0,4731997.0,4674849,4633316,4724280,4709067,4702058,4621826,4627486,4577797,4565552,4550713,4438346,4465526,4418182,4277190,4212788,4312759,4334735
Himachal Pradesh,703989,683441.0,674361.0,663238.0,646962.0,631358.0,619651.0,612917.0,605149.0,597924.0,589772.0,581906.0,2755701.0,2776272.0,2773564.0,2731392.0,2738350.0,2722613.0,2699499,2658073,2613363,2613635,2526660,2391457,1604896,1580346,1592496,1597504,1603132,1610092,1614681,1606440,1603113,1546714,1549857
J & K,506733,497391.0,499253.0,498872.0,484944.0,473157.0,466086.0,469335.0,454075.0,446906.0,490285.0,460394.0,1321570.0,1322743.0,1321119.0,1321582.0,1324220.0,827217.0,830837,834456,832966,833458,832052,830350,828725,827909,827594,828960,828900,831303,836454,837332,826820,811267,802417
Karnataka,9213164,9179916.0,9219033.0,9094320.0,8849389.0,8564344.0,8537545.0,8570817.0,8531587.0,8456083.0,8362821.0,8249302.0,6937785.0,6859823.0,6858477.0,6869430.0,6794850.0,6759194.0,6706785,6610337,6576460,6516496,6514593,6492981,6328383,6193288,5987361,5704777,5437302,5414427,5193266,4729271,4410678,4271752,4224679
Kerala,17350822,17282799.0,16934704.0,17218904.0,17021822.0,16732881.0,16517307.0,16506993.0,16550717.0,16576730.0,16499736.0,16408387.0,10669413.0,10567195.0,10520191.0,10450523.0,10413886.0,10319550.0,10291573,10184966,10115577,10011031,9980393,9961133,9928898,9927452,9878402,9767943,9719202,9729281,9737842,9749302,9652694,9484282,9378546
Kolkata,6869490,6872486.0,7003470.0,6974869.0,6621148.0,6535798.0,6483832.0,6477190.0,6457356.0,6402240.0,6355564.0,6313538.0,2330334.0,2223499.0,2260124.0,2277634.0,2143362.0,2158452.0,2174826,2184737,2172368,2150086,2158282,2166601,2174015,2178779,2183653,2182290,2185623,2188790,2180802,2185799,2189565,2135168,2026790
Madhya Pradesh,21410910,21393666.0,21630851.0,21481650.0,21110885.0,20855780.0,20849927.0,20896193.0,20787588.0,20723844.0,20566331.0,20461601.0,6037258.0,6029470.0,6026898.0,5908416.0,5896799.0,5818909.0,5737343,5676648,5628013,5542016,5504944,5443063,5412656,5357338,5340998,5273599,5214330,5172636,5126550,5063666,4983465,4866660,4808578
Maharashtra,32621591,32290387.0,32234994.0,31824364.0,31283854.0,30711593.0,30300652.0,29797552.0,29368881.0,29030093.0,28900729.0,28665552.0,6646400.0,6665130.0,6656723.0,6533653.0,6618175.0,6618575.0,6469963,6502724,6386783,6411561,6390616,6428378,6470806,6385821,6322365,6249033,6169234,6205219,6227022,6127418,6143342,5932278,5857052
Mumbai,8909782,10472239.0,11327047.0,11165679.0,11106524.0,11155817.0,11378699.0,11521563.0,11579610.0,11620995.0,11603364.0,11587899.0,,,,,,,,,,,,,,,,,,,,,,,
North East,1452373,1428357.0,1407306.0,1376369.0,1348960.0,1325196.0,1302005.0,1287316.0,1268515.0,1247622.0,1235345.0,1217071.0,1355854.0,1356526.0,1358731.0,1380156.0,1410852.0,1410265.0,"1,404,098","1,398,132","1,389,461","1,385,412","1,379,535","1,373,270","1,370,251","1,367,171","1,365,085","1,362,179","1,356,886","1,281,663","1,275,573","1,270,211","1,263,328","1,247,564","1,252,368"
Odisha,2482295,2417391.0,2364640.0,2314933.0,2253847.0,2189554.0,2125221.0,2086594.0,2069538.0,2033600.0,2031253.0,2002780.0,6273295.0,6234994.0,6262887.0,6280513.0,6293182.0,6296889.0,"6,303,809","6,316,772","6,330,453","6,320,827","6,323,737","6,318,998","6,306,844","6,222,700","6,223,547","6,220,306","6,212,785","6,210,662","6,204,752","6,212,390","5,757,087","5,452,631","5,450,152"
Punjab,8624256,8628408.0,8683278.0,8720556.0,8609759.0,8501752.0,8558314.0,8781165.0,8864450.0,9004580.0,8932142.0,8871081.0,5291338.0,5308297.0,5301931.0,5333501.0,5234458.0,5184123.0,"5,153,397","5,076,739","5,054,814","5,051,223","4,987,442","4,920,829","4,845,070","4,796,164","4,755,245","4,636,709","4,586,885","4,577,542","4,477,029","4,257,440","4,138,828","4,018,254","4,118,815"
Rajasthan,12169474,12239089.0,12248986.0,12160871.0,11973038.0,11776030.0,11681290.0,11650429.0,11626794.0,11557027.0,11512840.0,11463411.0,6395775.0,6436509.0,6545223.0,6480769.0,6482475.0,6441357.0,"6,426,475","6,411,947","6,390,012","6,378,687","6,356,440","6,293,169","6,233,460","6,164,189","6,111,223","6,020,483","5,928,371","5,843,850","5,747,614","5,568,427","5,677,644","5,640,275","5,660,820"
Tamil Nadu,19013534,19078428.0,19285654.0,19270695.0,19014909.0,18652929.0,18463671.0,18469158.0,18421575.0,18267793.0,18157872.0,18029076.0,10038454.0,10142269.0,9665252.0,9790342.0,9758250.0,9851076.0,"9,610,858","9,542,312","9,532,053","9,537,386","9,538,723","9,643,192","9,715,873","9,774,447","9,886,073","9,899,833","9,190,220","7,739,963","7,670,899","7,610,751","7,579,750","7,531,699","7,506,630"
U.P.(E),23249651,22916343.0,22693255.0,22362088.0,21949776.0,21345731.0,21207994.0,20915562.0,20781191.0,21051817.0,20548863.0,20531856.0,11124399.0,11070126.0,11047872.0,10967785.0,10918759.0,10800275.0,"10,717,989","10,644,914","10,371,737","10,147,502","9,786,103","9,436,080","9,002,308","8,561,096","8,619,448","8,652,063","8,695,592","8,735,044","8,654,501","8,496,815","8,096,415","8,096,363","8,244,426"
U.P.(W),20088352,19945229.0,19763003.0,19499892.0,19183593.0,19084492.0,19201671.0,19325518.0,19343161.0,19271089.0,19123461.0,19033068.0,5813800.0,5895131.0,5955327.0,5881738.0,5844711.0,5790363.0,"5,763,968","5,736,206","5,709,997","5,648,600","5,615,695","5,579,253","5,536,340","5,502,874","5,445,784","5,372,662","5,311,274","5,309,788","5,296,930","5,267,948","4,957,432","4,934,370","4,940,774"
West Bengal,17175245,17065473.0,16944652.0,16968931.0,16827402.0,16550356.0,16435586.0,16472500.0,16496690.0,16482187.0,16449885.0,16369180.0,2546902.0,2597378.0,2665422.0,2687329.0,2697798.0,2361967.0,"2,368,727","2,372,905","2,379,097","2,389,825","2,401,996","2,405,969","2,421,457","2,445,695","2,472,605","2,484,821","2,497,494","2,499,081","2,507,058","2,380,414","2,376,102","2,388,783","2,339,459"
