State,Jan21,Feb21,Mar21,Apr21,May21,Jun21,Jul21,Aug21,Sep21,Oct21,Nov21,Dec21,Jan22,Feb22,Mar22,Apr22,May22,Jun22,Jul22,Aug22,Sep22,Oct22,Nov22,Dec22,Jan23,Feb23,Mar23,Apr23,May23,Jun23,Jul23,Aug23,Sep23,Nov23,Dec23
Andhra Pradesh,31403139,31551417.0,31972495.0,32100593.0,32146712.0,32245396.0,32486949.0,32509911.0,31390404.0,31280685.0,31335317.0,29977838.0,29144296.0,28824624.0,28761926.0,28766185.0,29093205.0,29304929.0,29515342.0,29685731.0,29629059.0,29691246.0,29858919.0,29991757.0,30242362,30247101,30263784,30445264,30638869,30650087,30896175,31132163,31377637,31980716,32181993
Assam,8971781,9092078.0,9243798.0,9384721.0,9450522.0,9538264.0,9652767.0,9647154.0,8692859.0,8737018.0,8636783.0,8469432.0,8338150.0,8266401.0,8290308.0,8393920.0,8303283.0,8246878.0,8410618.0,8416567.0,8423085.0,8488456.0,8542805.0,8621292.0,8718780,8759422,8800862,8869670,8928523,8941644,9020373,9037935,9041371,9197447,9273525
Bihar,31548147,31754296.0,32515243.0,32664356.0,33067494.0,33575643.0,34056245.0,34082403.0,34130700.0,34183516.0,34626924.0,34164308.0,33416852.0,33168563.0,33276206.0,33792388.0,34319905.0,34958257.0,35111834.0,35548114.0,35927758.0,36085593.0,36310101.0,36246456.0,36193068,36277336,36728575,37338732,37644388,37941349,38326618,38720581,39157555,39607432,39960736
Delhi,19214651,19470227.0,19743775.0,19911558.0,19981390.0,20132835.0,20346740.0,20370041.0,18605915.0,18811487.0,18629786.0,18363659.0,17844325.0,17715367.0,17752242.0,17893256.0,17987418.0,18169458.0,18175459.0,18230624.0,18315529.0,18293364.0,18318430.0,18487734.0,18589977,18742893,18825690,18957473,19069518,19142853,19241615,19361859,19487598,19707070,19780346
Gujarat,25492329,25631164.0,26151330.0,26511698.0,26797458.0,27341384.0,27924732.0,27961726.0,26862748.0,27171671.0,27355288.0,26419800.0,25950498.0,25753239.0,25949345.0,25921360.0,26114297.0,26404219.0,26583026.0,26733663.0,26786692.0,26853347.0,26979972.0,27017956.0,27048203,27196049,27618299,27753846,27901111,27872065,28031848,28307727,28524098,29007074,29363638
Haryana,8935245,8998423.0,9087484.0,9193650.0,9272994.0,9409915.0,9565477.0,9605082.0,9344716.0,9365110.0,9299197.0,8964965.0,8605409.0,8544389.0,8531886.0,8620624.0,8140938.0,8392903.0,8102509.0,8003839.0,7977956.0,7981082.0,8026673.0,8027774.0,8060101,8096274,8170269,8158151,8230575,8219158,8329790,8396861,8435967,8510805,8570228
Himachal Pradesh,4046636,4087620.0,4132426.0,4180766.0,4201402.0,4250862.0,4312370.0,4337880.0,3759318.0,3779027.0,3831736.0,3685363.0,3589258.0,3555618.0,3521078.0,3535548.0,3326867.0,3195547.0,3249709.0,3252931.0,3296501.0,3290053.0,3328111.0,3286812.0,3319408,3303037,3313438,3293390,3313440,3310136,3325209,3324299,3334263,3333512,3330986
J & K,4521120,4593889.0,4645034.0,4646477.0,4647452.0,4665785.0,4707819.0,4703972.0,4417890.0,4392606.0,4434671.0,4440438.0,4464079.0,4495332.0,4566655.0,4667063.0,4750984.0,4714476.0,4820174.0,4899513.0,4949686.0,4981591.0,5006524.0,5045691.0,5071135,5024575,5045033,5039343,5099753,5148627,5225872,5169889,5195889,5169270,5172959
Karnataka,20968240,21123209.0,21577501.0,21797029.0,21847733.0,21921576.0,22100924.0,22137644.0,20946637.0,20931005.0,20893192.0,20628775.0,19800475.0,19592774.0,19505818.0,19747793.0,20075499.0,20198583.0,20352298.0,20511660.0,20565682.0,20627732.0,20933629.0,21045839.0,21256958,21335296,21467203,21681487,21984476,22181050,22443713,22751031,22939501,23350160,23596740
Kerala,9932427,10060424.0,10196287.0,10339374.0,10395303.0,10680602.0,10953447.0,10988173.0,9463239.0,9445458.0,9602106.0,9590349.0,9313299.0,9222719.0,9166678.0,9256274.0,9374307.0,9485240.0,9591904.0,9686259.0,9758480.0,9750919.0,9873408.0,9911488.0,10017233,10026710,10070654,10120112,10193682,10264886,10353067,10458590,10540914,10722479,10830851
Kolkata,10890982,11055992.0,11218010.0,11368418.0,11438926.0,11551066.0,11683804.0,11703505.0,10351062.0,10237359.0,10311973.0,10207503.0,9838331.0,9748635.0,9726519.0,9774884.0,9854666.0,9869978.0,10075670.0,10057795.0,10041779.0,10079669.0,10155835.0,10258126.0,10309622,10342817,10357855,10382129,10433799,10461233,10486698,10554364,10586050,10673453,10724998
Madhya Pradesh,33365519,33716180.0,34515319.0,35052363.0,35538446.0,36109079.0,36694297.0,36738811.0,36605321.0,37155085.0,37474968.0,35689111.0,35357826.0,35103338.0,35667197.0,35709424.0,36104213.0,36620014.0,37020701.0,37406556.0,37513234.0,37826692.0,37819183.0,38223356.0,38362105,38451661,38715471,39202923,39409857,39662102,40057431,40309112,40652254,41341599,41814615
Maharashtra,35611070,36046728.0,36747170.0,36824238.0,37069773.0,37793654.0,38373765.0,38410784.0,37765173.0,38388649.0,38599140.0,37083113.0,36334081.0,36131701.0,36653409.0,36446587.0,36795778.0,37530857.0,37999072.0,38380673.0,38459608.0,38605459.0,38794891.0,39162702.0,39268021,39373287,39627049,39898935,40302352,40901415,41530229,42148536,42548318,43011738,43085341
Mumbai,14813619,14941853.0,15103932.0,15165457.0,15224364.0,15343634.0,15500694.0,15525900.0,13040989.0,13092699.0,13066659.0,12027759.0,11789900.0,11653047.0,11637672.0,11823529.0,11821185.0,11853986.0,11880697.0,11920588.0,11931328.0,11927963.0,11951712.0,12102729.0,12245680,12205344,12376197,12262524,12333204,12424761,12441106,12370695,12464221,12698479,12848855
North East,4113142,4170356.0,4242689.0,4308701.0,4335591.0,4383650.0,4422734.0,4455087.0,3969330.0,3988177.0,3984784.0,3889037.0,3847195.0,3813016.0,3831508.0,3884310.0,3867266.0,3749449.0,3824552.0,3904306.0,3936541.0,3915585.0,3944651.0,3983794.0,4025370,4022467,4110061,4092809,4108805,4103288,4129540,4134372,4123251,4164415,4191746
Odisha,13862531,14053194.0,14325397.0,14594479.0,14742014.0,14994892.0,15314872.0,15344861.0,14346857.0,14274541.0,14162621.0,13887968.0,13562545.0,13423905.0,13366795.0,13437567.0,13623008.0,13603769.0,13696162.0,13779310.0,13759487.0,13810523.0,13864717.0,13939298.0,14051296,14022602,14119554,14125541,14201913,14216993,14358893,14387768,14485859,14710998,14851441
Punjab,12416478,12540321.0,12739934.0,13029017.0,13240912.0,13452454.0,13708776.0,13739361.0,12244618.0,12297174.0,12372060.0,11889299.0,11489023.0,11377338.0,11227549.0,10552937.0,10678528.0,10821536.0,10925686.0,11036940.0,11072338.0,11183703.0,11129275.0,11273435.0,11298327,11326102,11423723,11443278,11524524,11508531,11602524,11703053,11750685,11886480,11935545
Rajasthan,25142465,25377992.0,25693559.0,25830189.0,25886616.0,25984290.0,26171099.0,26168784.0,25442295.0,25539082.0,25692343.0,24090835.0,23674011.0,23431111.0,23746244.0,23513424.0,23676314.0,23792866.0,23995947.0,24119101.0,24227583.0,24298718.0,24375102.0,24445346.0,24503401,24652557,24778828,25035943,25262849,25338835,25480166,25556834,25617046,26012963,26285709
Tamil Nadu,24332815,24588139.0,25288818.0,25574387.0,25732759.0,25881565.0,26371259.0,26405720.0,25600655.0,25399190.0,25498244.0,24899646.0,24257707.0,23867178.0,23801100.0,24008135.0,24274990.0,24289215.0,23835394.0,23881355.0,23735924.0,23755190.0,23914917.0,23981468.0,24107049,24155979,24148978,24243070,24353638,24519217,24662296,24786642,24982881,25277082,25473310
U.P.(E),30358695,30607236.0,31311492.0,31938287.0,32473715.0,33094058.0,33785361.0,33838226.0,33392337.0,33481471.0,33590714.0,32816775.0,32174664.0,31909847.0,31861176.0,32357926.0,32927495.0,33468171.0,34020610.0,34571305.0,34611274.0,34743042.0,35011960.0,34975500.0,34813538,34992735,35366666,35739311,35908799,36253665,36646396,37035780,37462411,38234506,38846885
U.P.(W),20430786,20629748.0,21039748.0,21380480.0,21516605.0,21641370.0,21885956.0,21923694.0,21534971.0,21731250.0,22079143.0,21620210.0,21091113.0,20773542.0,20868507.0,21000155.0,21415127.0,21619720.0,21800647.0,21986731.0,21944303.0,22105744.0,21881903.0,21763217.0,21756247,21804979,22007333,22266265,22545744,22610183,22812458,22948732,23159191,23517154,23813944
West Bengal,20358321,20906471.0,21423645.0,21875188.0,22217967.0,22700730.0,23191403.0,23262525.0,22929592.0,22916503.0,23140476.0,22910130.0,22510693.0,22361913.0,22284113.0,22572736.0,22262169.0,22720643.0,22972072.0,23228221.0,23102745.0,23084907.0,22784677.0,22724469.0,22916806,22820261,22894729,22921038,22919451,22909991,23087372,23138135,23343486,23702149,23877462
Total,410730138,414996957.0,0.0,427671426.0,431226148.0,436692704.0,443211490.0,443861244.0,424837626.0,426598763.0,428618125.0,415716313.0,406393730.0,402733597.0,403993931.0,405676025.0,408787442.0,413010694.0,415960083.0,419241782.0,419966572.0,421380578.0,422807395.0,424516239.0,426174687,427179484,430230251,433271234,436309270,438582069,442489389,445734958,449210446,455816981,459811853
