State,Jan23,Feb23,Mar23,Apr23,May23,Jun23,Jul23,Aug23,Sep23,Nov23,Dec23
Andhra Pradesh,33.04020670366648,33.04538412795525,33.06361054057597,33.26187999825198,33.47339618931085,33.48565201241096,33.754506620635404,34.012326836516195,34.28051064108727,34.939382948040034,35.1592809072237
Bihar,21.672495808383232,21.722955688622754,21.993158682634732,22.358522155688622,22.541549700598804,22.719370658682635,22.950070658682634,23.18597664670659,23.447637724550898,23.7170251497006,23.928584431137725
Gujarat,37.00822718130447,37.210514865844814,37.788250988547894,37.973710783039394,38.17520352456661,38.135461846840066,38.35408212130748,38.73154870223159,39.02759451065169,39.68841791289833,40.176280323450136
Karnataka,31.337192811758293,31.45267937434582,31.647137823773093,31.963037164801793,32.40970619020241,32.699497294827005,33.08671737944658,33.53976825438946,33.81761237155956,34.423009449677885,34.78651983547831
Madhya Pradesh,32.72742434971037,32.80382623680865,33.028887448066406,33.44474180366329,33.62128104285215,33.836475937790595,34.173738450907294,34.38845218696947,34.68119300101521,35.26928602506462,35.67282476091352
Maharashtra,40.15504376904909,40.20565684753716,40.53664517838908,40.65997256152221,41.029532220723844,41.56787203691722,42.07077490314685,42.49786104593606,42.88239572209187,43.426237264882644,43.60082939035132
Rajasthan,30.13355428206011,30.316981897781492,30.47226622066998,30.788458605932412,31.067500860839196,31.160946185252598,31.334750848541493,31.42903487628511,31.503081804318956,31.989968763834913,32.32538368832702
Tamil Nadu,30.672887243301016,30.73514390411482,30.726236099447796,30.84595516197165,30.986637656818587,31.197314044329083,31.379362292286945,31.53757538743416,31.78726238644171,32.16159248797618,32.41126549100441
Uttar Pradesh,22.795690280464218,22.887537878787878,23.1197610412637,23.374264990328818,23.555183349451966,23.720119277885235,23.95988636363636,24.17170857511283,24.42843407479046,24.883808833010963,25.250172872340425
West Bengal,33.34446741464785,33.28089235895069,33.37071633582883,33.42147903578668,33.47173995945648,33.489777813459646,33.693344439315176,33.81219416735243,34.050073259338056,34.49772394275736,34.725387873070666
