State,Jan21,Feb21,Mar21,Apr21,May21,Jun21,Jul21,Aug21,Sep21,Oct21,Nov21,Dec21,Jan22,Feb22,Mar22,Apr22,May22,Jun22,Jul22,Aug22,Sep22,Oct22,Nov22,Dec22,Jan23,Feb23,Mar23,Apr23,May23,Jun23,Jul23,Aug23,Sep23,Nov23,Dec23
Andhra Pradesh,16008882,15818541.0,15752480.0,15587525.0,15315444.0,15084844.0,14956508.0,14897868.0,14768586.0,14589459.0,14417213.0,14241991.0,14095576.0,13803355.0,13692242.0,13536849.0,13462041.0,13356859.0,13003669.0,12957328.0,12491955.0,12300968.0,12189800.0,12060526.0,12000139,11892711,11770855,11621123,11447975,11363635,11287873,11194912,11007032,10952353,10889776
Assam,3288855,3235350.0,3203509.0,3165463.0,3129613.0,3060431.0,2984940.0,2942512.0,2896364.0,2844345.0,2808749.0,2751705.0,2634479.0,2567962.0,2501259.0,2477648.0,2447450.0,2410870.0,2364854.0,2316904.0,2264284.0,2203229.0,2169994.0,2128563.0,2032031,2014311,2002622,1980752,1937529,1912053,1862647,1837672,1803134,1739650,1689221
Bihar,12241896,12122243.0,12113773.0,12007372.0,11662759.0,11303641.0,11140519.0,11076397.0,10973747.0,10877621.0,10747890.0,10577260.0,10377727.0,10314616.0,10189484.0,10098755.0,10181591.0,10101469.0,10128738.0,10115082.0,9959642.0,9700393.0,9533826.0,9195941.0,9042859,8546733,8393253,8282431,8133798,8058206,8007508,7943071,7840736,7718352,7685625
Delhi,15528840,15856412.0,16219011.0,16132680.0,15978312.0,15925885.0,15974356.0,15803961.0,15812011.0,15774846.0,15823733.0,15994885.0,16103982.0,16054137.0,16130457.0,16386314.0,16349276.0,16425147.0,16444876.0,16530586.0,16616495.0,16668651.0,16773385.0,16872359.0,16918702,16892598,16860622,16646441,16509158,16347957,16299330,16559451,16583934,16560519,16594404
Gujarat,25004003,25082556.0,25254129.0,25172519.0,25022251.0,24784722.0,24630448.0,24454206.0,24305580.0,24206672.0,24075093.0,23790340.0,23844613.0,23867662.0,23787229.0,23829900.0,23847573.0,23835491.0,23746631.0,23683216.0,23266733.0,22971933.0,22802688.0,22528058.0,22448214,22241710,22217191,22136400,21932937,21823572,21731576,21661000,21512053,21077128,20936910
Haryana,8058043,8118660.0,8256208.0,8241187.0,8226254.0,8085635.0,8085459.0,8052386.0,8027162.0,7962609.0,7896091.0,7912039.0,7888919.0,7918102.0,7833440.0,7805801.0,7798065.0,7796890.0,7800804.0,7771735.0,7729482.0,7633531.0,7567239.0,7563522.0,7437444,7379979,7350432,7300487,7254897,7235095,7142447,7059545,6979837,6884301,6848050
Himachal Pradesh,703989,683441.0,674361.0,663238.0,646962.0,631358.0,619651.0,612917.0,605149.0,597924.0,589772.0,581906.0,562770.0,568575.0,558401.0,554253.0,547019.0,539042.0,535351.0,528275.0,521480.0,510985.0,505671.0,496145.0,485406,480781,468009,458068,442699,433472,425849,417731,412534,405602,404470
J & K,506733,497391.0,499253.0,498872.0,484944.0,473157.0,466086.0,469335.0,454075.0,446906.0,490285.0,460394.0,456444.0,435897.0,430021.0,433800.0,437212.0,416947.0,427464.0,428138.0,414420.0,408684.0,399193.0,387466.0,377611,367587,362900,353914,335707,322864,315687,310916,308207,302020,302053
Karnataka,9213164,9179916.0,9219033.0,9094320.0,8849389.0,8564344.0,8537545.0,8570817.0,8531587.0,8456083.0,8362821.0,8249302.0,7981269.0,7827250.0,7639731.0,7595906.0,7572092.0,7473709.0,7520391.0,7442360.0,7668092.0,7636633.0,7748135.0,7598993.0,7402281,7321249,7232272,6869528,6777831,6676091,6645326,6666276,6586621,6543662,6478767
Kerala,17350822,17282799.0,16934704.0,17218904.0,17021822.0,16732881.0,16517307.0,16506993.0,16550717.0,16576730.0,16499736.0,16408387.0,16329344.0,16163782.0,15953380.0,15752322.0,15467939.0,15278510.0,15120953.0,15078888.0,14990802.0,14878749.0,14775767.0,14684250.0,14660944,14593288,14470640,14355479,14245870,14203668,14150214,14113847,14028432,13753816,13703637
Kolkata,6869490,6872486.0,7003470.0,6974869.0,6621148.0,6535798.0,6483832.0,6477190.0,6457356.0,6402240.0,6355564.0,6313538.0,6239867.0,6136945.0,6076759.0,6094626.0,6092618.0,6080093.0,6061242.0,6024917.0,5993135.0,5947569.0,5929730.0,5876479.0,5878598,5865376,5830683,5787009,5686855,5638643,5590247,5571836,5566595,5475184,5421655
Madhya Pradesh,21410910,21393666.0,21630851.0,21481650.0,21110885.0,20855780.0,20849927.0,20896193.0,20787588.0,20723844.0,20566331.0,20461601.0,20684045.0,20307524.0,19984148.0,19771158.0,19850888.0,19544985.0,19404464.0,19166403.0,18318854.0,17867798.0,17630923.0,17368867.0,17401404,17262577,17190019,17011751,16943923,16809837,16615675,16457711,16249668,15954356,15839576
Maharashtra,32621591,32290387.0,32234994.0,31824364.0,31283854.0,30711593.0,30300652.0,29797552.0,29368881.0,29030093.0,28900729.0,28665552.0,29317539.0,29301925.0,28714243.0,28258963.0,28021176.0,27756584.0,27466723.0,26908840.0,26351731.0,25785346.0,25224424.0,24958114.0,24809241,24488946,24401860,24148630,23830542,23683451,23547709,23434106,23360391,23088405,22913859
Mumbai,8909782,10472239.0,11327047.0,11165679.0,11106524.0,11155817.0,11378699.0,11521563.0,11579610.0,11620995.0,11603364.0,11587899.0,11849869.0,11846621.0,11837333.0,11806736.0,11872510.0,11702577.0,11597665.0,11532881.0,11440567.0,11515155.0,11433688.0,11367552.0,11240673,11370449,11420368,11267067,11163757,11132998,11140887,11142422,11147788,11259219,11254136
North East,1452373,1428357.0,1407306.0,1376369.0,1348960.0,1325196.0,1302005.0,1287316.0,1268515.0,1247622.0,1235345.0,1217071.0,1149253.0,1120579.0,1099337.0,1092187.0,1085747.0,1076669.0,1062224.0,1036909.0,1023214.0,1004679.0,990057.0,935069.0,951893,945983,941136,928935,917433,921680,907470,891990,866774,831926,811436
Odisha,2482295,2417391.0,2364640.0,2314933.0,2253847.0,2189554.0,2125221.0,2086594.0,2069538.0,2033600.0,2031253.0,2002780.0,1943167.0,1883692.0,1829944.0,1787839.0,1767520.0,1727691.0,1705100.0,1680848.0,1677824.0,1645826.0,1653617.0,1647883.0,1645039,1638594,1630429,1596649,1580880,1597870,1567995,1562770,1536700,1526680,1501230
Punjab,8624256,8628408.0,8683278.0,8720556.0,8609759.0,8501752.0,8558314.0,8781165.0,8864450.0,9004580.0,8932142.0,8871081.0,8666491.0,8618570.0,8546865.0,8417752.0,8434928.0,8345197.0,8302554.0,8210720.0,7640310.0,7544015.0,7467094.0,7386768.0,7308781,7259383,7185176,7104029,6957971,6900358,6831994,6779316,6719723,6597101,6545598
Rajasthan,12169474,12239089.0,12248986.0,12160871.0,11973038.0,11776030.0,11681290.0,11650429.0,11626794.0,11557027.0,11512840.0,11463411.0,11378812.0,11183574.0,11073954.0,11028854.0,10981737.0,10891351.0,10835672.0,10750310.0,10609215.0,10400783.0,10349423.0,10406709.0,10333463,10300552,10262160,10150599,9990444,9857476,9771036,10445136,11261139,11132160,11008394
Tamil Nadu,19013534,19078428.0,19285654.0,19270695.0,19014909.0,18652929.0,18463671.0,18469158.0,18421575.0,18267793.0,18157872.0,18029076.0,17762548.0,17898703.0,17928621.0,17752333.0,17705521.0,17654593.0,17638986.0,17555468.0,17445195.0,17221976.0,17288073.0,17142543.0,16910521,16790527,16686494,16457624,16340816,16299143,16274350,16268019,16220684,16092353,15960200
U.P.(E),23249651,22916343.0,22693255.0,22362088.0,21949776.0,21345731.0,21207994.0,20915562.0,20781191.0,21051817.0,20548863.0,20531856.0,20736110.0,20942068.0,20543055.0,20347136.0,20234110.0,20159319.0,20069503.0,19910512.0,19609019.0,19331519.0,19299489.0,19023762.0,19020934,18806694,18771392,18690203,18298890,18336134,18227215,18090106,17911800,17445631,17377795
